Date,Day,Week,Phase,Gym,Run,Run_km,Run_Pace,Double_Day
30/07/2026,Thursday,8,Phase 1 — Base (Jun–Sep),Lower,Easy Run,7,5:45–6:30/km,Yes
31/07/2026,Friday,8,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,6.4,4:40–4:50/km,
01/08/2026,Saturday,8,Phase 1 — Base (Jun–Sep),Pull,,,,
02/08/2026,Sunday,8,Phase 1 — Base (Jun–Sep),Push,Long Run,14.5,5:30–6:00/km,Yes
,,,,,,,,
03/08/2026,Monday,9,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,5.5,6:00–6:45/km,Yes
04/08/2026,Tuesday,9,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,8,4:30–4:40/km,
05/08/2026,Wednesday,9,Phase 1 — Base (Jun–Sep),Upper,,,,
06/08/2026,Thursday,9,Phase 1 — Base (Jun–Sep),Lower,Easy Run,7.1,5:45–6:30/km,Yes
07/08/2026,Friday,9,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,6.6,4:40–4:50/km,
08/08/2026,Saturday,9,Phase 1 — Base (Jun–Sep),Pull,,,,
09/08/2026,Sunday,9,Phase 1 — Base (Jun–Sep),Push,Long Run,15,5:30–6:00/km,Yes
,,,,,,,,
10/08/2026,Monday,10,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,5.5,6:00–6:45/km,Yes
11/08/2026,Tuesday,10,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,8,4:30–4:40/km,
12/08/2026,Wednesday,10,Phase 1 — Base (Jun–Sep),Upper,,,,
13/08/2026,Thursday,10,Phase 1 — Base (Jun–Sep),Lower,Easy Run,7.2,5:45–6:30/km,Yes
14/08/2026,Friday,10,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,6.8,4:40–4:50/km,
15/08/2026,Saturday,10,Phase 1 — Base (Jun–Sep),Pull,,,,
16/08/2026,Sunday,10,Phase 1 — Base (Jun–Sep),Push,Long Run,15.6,5:30–6:00/km,Yes
,,,,,,,,
17/08/2026,Monday,11,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,5.5,6:00–6:45/km,Yes
18/08/2026,Tuesday,11,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,8,4:30–4:40/km,
19/08/2026,Wednesday,11,Phase 1 — Base (Jun–Sep),Upper,,,,
20/08/2026,Thursday,11,Phase 1 — Base (Jun–Sep),Lower,Easy Run,7.3,5:45–6:30/km,Yes
21/08/2026,Friday,11,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,7,4:40–4:50/km,
22/08/2026,Saturday,11,Phase 1 — Base (Jun–Sep),Pull,,,,
23/08/2026,Sunday,11,Phase 1 — Base (Jun–Sep),Push,Long Run,16.2,5:30–6:00/km,Yes
,,,,,,,,
24/08/2026,Monday,12,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,5.6,6:00–6:45/km,Yes
25/08/2026,Tuesday,12,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,8,4:30–4:40/km,
26/08/2026,Wednesday,12,Phase 1 — Base (Jun–Sep),Upper,,,,
27/08/2026,Thursday,12,Phase 1 — Base (Jun–Sep),Lower,Easy Run,7.4,5:45–6:30/km,Yes
28/08/2026,Friday,12,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,7.2,4:40–4:50/km,
29/08/2026,Saturday,12,Phase 1 — Base (Jun–Sep),Pull,,,,
30/08/2026,Sunday,12,Phase 1 — Base (Jun–Sep),Push,Long Run,16.7,5:30–6:00/km,Yes
,,,,,,,,
31/08/2026,Monday,13,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,5.7,6:00–6:45/km,Yes
01/09/2026,Tuesday,13,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,8,4:30–4:40/km,
02/09/2026,Wednesday,13,Phase 1 — Base (Jun–Sep),Upper,,,,
03/09/2026,Thursday,13,Phase 1 — Base (Jun–Sep),Lower,Easy Run,7.6,5:45–6:30/km,Yes
04/09/2026,Friday,13,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,7.3,4:40–4:50/km,
05/09/2026,Saturday,13,Phase 1 — Base (Jun–Sep),Pull,,,,
06/09/2026,Sunday,13,Phase 1 — Base (Jun–Sep),Push,Long Run,17.3,5:30–6:00/km,Yes
,,,,,,,,
07/09/2026,Monday,14,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,5.7,6:00–6:45/km,Yes
08/09/2026,Tuesday,14,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,8,4:30–4:40/km,
09/09/2026,Wednesday,14,Phase 1 — Base (Jun–Sep),Upper,,,,
10/09/2026,Thursday,14,Phase 1 — Base (Jun–Sep),Lower,Easy Run,7.7,5:45–6:30/km,Yes
11/09/2026,Friday,14,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,7.5,4:40–4:50/km,
12/09/2026,Saturday,14,Phase 1 — Base (Jun–Sep),Pull,,,,
13/09/2026,Sunday,14,Phase 1 — Base (Jun–Sep),Push,Long Run,17.8,5:30–6:00/km,Yes
,,,,,,,,
14/09/2026,Monday,15,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,5.8,6:00–6:45/km,Yes
15/09/2026,Tuesday,15,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,8,4:30–4:40/km,
16/09/2026,Wednesday,15,Phase 1 — Base (Jun–Sep),Upper,,,,
17/09/2026,Thursday,15,Phase 1 — Base (Jun–Sep),Lower,Easy Run,7.8,5:45–6:30/km,Yes
18/09/2026,Friday,15,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,7.7,4:40–4:50/km,
19/09/2026,Saturday,15,Phase 1 — Base (Jun–Sep),Pull,,,,
20/09/2026,Sunday,15,Phase 1 — Base (Jun–Sep),Push,Long Run,18.4,5:30–6:00/km,Yes
,,,,,,,,
21/09/2026,Monday,16,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,5.8,6:00–6:45/km,Yes
22/09/2026,Tuesday,16,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,8,4:30–4:40/km,
23/09/2026,Wednesday,16,Phase 1 — Base (Jun–Sep),Upper,,,,
24/09/2026,Thursday,16,Phase 1 — Base (Jun–Sep),Lower,Easy Run,7.9,5:45–6:30/km,Yes
25/09/2026,Friday,16,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,7.9,4:40–4:50/km,
26/09/2026,Saturday,16,Phase 1 — Base (Jun–Sep),Pull,,,,
27/09/2026,Sunday,16,Phase 1 — Base (Jun–Sep),Push,Long Run,19,5:30–6:00/km,Yes
,,,,,,,,
28/09/2026,Monday,17,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,5.8,6:00–6:45/km,Yes
29/09/2026,Tuesday,17,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,8,4:30–4:40/km,
30/09/2026,Wednesday,17,Phase 1 — Base (Jun–Sep),Upper,,,,
01/10/2026,Thursday,17,Phase 1 — Base (Jun–Sep),Lower,Easy Run,8,5:45–6:30/km,Yes
02/10/2026,Friday,17,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,8,4:40–4:50/km,
03/10/2026,Saturday,17,Phase 1 — Base (Jun–Sep),Pull,,,,
04/10/2026,Sunday,17,Phase 1 — Base (Jun–Sep),Push,Long Run,19.5,5:30–6:00/km,Yes
,,,,,,,,
05/10/2026,Monday,18,Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,6,6:00–6:30/km,Yes
06/10/2026,Tuesday,18,Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,8,4:30–4:40/km,
07/10/2026,Wednesday,18,Phase 2 — Endurance (Oct–Dec),Upper,,,,
08/10/2026,Thursday,18,Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,8.3,5:45–6:15/km,Yes
09/10/2026,Friday,18,Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,8.2,4:40–4:50/km,
10/10/2026,Saturday,18,Phase 2 — Endurance (Oct–Dec),Pull,,,,
11/10/2026,Sunday,18,Phase 2 — Endurance (Oct–Dec),Push,Long Run,18,5:20–5:50/km,Yes
,,,,,,,,
12/10/2026,Monday,19,Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,6,6:00–6:30/km,Yes
13/10/2026,Tuesday,19,Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,8,4:30–4:40/km,
14/10/2026,Wednesday,19,Phase 2 — Endurance (Oct–Dec),Upper,,,,
15/10/2026,Thursday,19,Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,8.6,5:45–6:15/km,Yes
16/10/2026,Friday,19,Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,8.5,4:40–4:50/km,
17/10/2026,Saturday,19,Phase 2 — Endurance (Oct–Dec),Pull,,,,
18/10/2026,Sunday,19,Phase 2 — Endurance (Oct–Dec),Push,Long Run,18,5:20–5:50/km,Yes
,,,,,,,,
19/10/2026,Monday,20,Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,6,6:00–6:30/km,Yes
20/10/2026,Tuesday,20,Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,8,4:30–4:40/km,
21/10/2026,Wednesday,20,Phase 2 — Endurance (Oct–Dec),Upper,,,,
22/10/2026,Thursday,20,Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,8.9,5:45–6:15/km,Yes
23/10/2026,Friday,20,Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,8.8,4:40–4:50/km,
24/10/2026,Saturday,20,Phase 2 — Endurance (Oct–Dec),Pull,,,,
25/10/2026,Sunday,20,Phase 2 — Endurance (Oct–Dec),Push,Long Run,20,5:20–5:50/km,Yes
,,,,,,,,
26/10/2026,Monday,21,Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,6,6:00–6:30/km,Yes
27/10/2026,Tuesday,21,Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,8,4:30–4:40/km,
28/10/2026,Wednesday,21,Phase 2 — Endurance (Oct–Dec),Upper,,,,
29/10/2026,Thursday,21,Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,9.2,5:45–6:15/km,Yes
30/10/2026,Friday,21,Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,9,4:40–4:50/km,
31/10/2026,Saturday,21,Phase 2 — Endurance (Oct–Dec),Pull,,,,
01/11/2026,Sunday,21,Phase 2 — Endurance (Oct–Dec),Push,Long Run,20,5:20–5:50/km,Yes
,,,,,,,,
02/11/2026,Monday,22,Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,6,6:00–6:30/km,Yes
03/11/2026,Tuesday,22,Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,8,4:30–4:40/km,
04/11/2026,Wednesday,22,Phase 2 — Endurance (Oct–Dec),Upper,,,,
05/11/2026,Thursday,22,Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,9.5,5:45–6:15/km,Yes
06/11/2026,Friday,22,Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,9.2,4:40–4:50/km,
07/11/2026,Saturday,22,Phase 2 — Endurance (Oct–Dec),Pull,,,,
08/11/2026,Sunday,22,Phase 2 — Endurance (Oct–Dec),Push,Long Run,20,5:20–5:50/km,Yes
,,,,,,,,
09/11/2026,Monday,23,Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,6,6:00–6:30/km,Yes
10/11/2026,Tuesday,23,Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,8,4:30–4:40/km,
11/11/2026,Wednesday,23,Phase 2 — Endurance (Oct–Dec),Upper,,,,
12/11/2026,Thursday,23,Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,9.8,5:45–6:15/km,Yes
13/11/2026,Friday,23,Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,9.5,4:40–4:50/km,
14/11/2026,Saturday,23,Phase 2 — Endurance (Oct–Dec),Pull,,,,
15/11/2026,Sunday,23,Phase 2 — Endurance (Oct–Dec),Push,Long Run,22,5:20–5:50/km,Yes
,,,,,,,,
16/11/2026,Monday,24,Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,6,6:00–6:30/km,Yes
17/11/2026,Tuesday,24,Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,8,4:30–4:40/km,
18/11/2026,Wednesday,24,Phase 2 — Endurance (Oct–Dec),Upper,,,,
19/11/2026,Thursday,24,Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,10.1,5:45–6:15/km,Yes
20/11/2026,Friday,24,Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,9.8,4:40–4:50/km,
21/11/2026,Saturday,24,Phase 2 — Endurance (Oct–Dec),Pull,,,,
22/11/2026,Sunday,24,Phase 2 — Endurance (Oct–Dec),Push,Long Run,22,5:20–5:50/km,Yes
,,,,,,,,
23/11/2026,Monday,25,Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,6,6:00–6:30/km,Yes
24/11/2026,Tuesday,25,Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,8,4:30–4:40/km,
25/11/2026,Wednesday,25,Phase 2 — Endurance (Oct–Dec),Upper,,,,
26/11/2026,Thursday,25,Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,10.4,5:45–6:15/km,Yes
27/11/2026,Friday,25,Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,10,4:40–4:50/km,
28/11/2026,Saturday,25,Phase 2 — Endurance (Oct–Dec),Pull,,,,
29/11/2026,Sunday,25,Phase 2 — Endurance (Oct–Dec),Push,Long Run,22,5:20–5:50/km,Yes
,,,,,,,,
30/11/2026,Monday,26,Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,6,6:00–6:30/km,Yes
01/12/2026,Tuesday,26,Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,8,4:30–4:40/km,
02/12/2026,Wednesday,26,Phase 2 — Endurance (Oct–Dec),Upper,,,,
03/12/2026,Thursday,26,Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,10.7,5:45–6:15/km,Yes
04/12/2026,Friday,26,Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,10.2,4:40–4:50/km,
05/12/2026,Saturday,26,Phase 2 — Endurance (Oct–Dec),Pull,,,,
06/12/2026,Sunday,26,Phase 2 — Endurance (Oct–Dec),Push,Long Run,24,5:20–5:50/km,Yes
,,,,,,,,
07/12/2026,Monday,27,Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,6,6:00–6:30/km,Yes
08/12/2026,Tuesday,27,Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,8,4:30–4:40/km,
09/12/2026,Wednesday,27,Phase 2 — Endurance (Oct–Dec),Upper,,,,
10/12/2026,Thursday,27,Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,11,5:45–6:15/km,Yes
11/12/2026,Friday,27,Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,10.5,4:40–4:50/km,
12/12/2026,Saturday,27,Phase 2 — Endurance (Oct–Dec),Pull,,,,
13/12/2026,Sunday,27,Phase 2 — Endurance (Oct–Dec),Push,Long Run,24,5:20–5:50/km,Yes
,,,,,,,,
14/12/2026,Monday,28,Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,6,6:00–6:30/km,Yes
15/12/2026,Tuesday,28,Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,8,4:30–4:40/km,
16/12/2026,Wednesday,28,Phase 2 — Endurance (Oct–Dec),Upper,,,,
17/12/2026,Thursday,28,Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,11.3,5:45–6:15/km,Yes
18/12/2026,Friday,28,Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,10.8,4:40–4:50/km,
19/12/2026,Saturday,28,Phase 2 — Endurance (Oct–Dec),Pull,,,,
20/12/2026,Sunday,28,Phase 2 — Endurance (Oct–Dec),Push,Long Run,24,5:20–5:50/km,Yes
,,,,,,,,
21/12/2026,Monday,29,Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,6,6:00–6:30/km,Yes
22/12/2026,Tuesday,29,Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,8,4:30–4:40/km,
23/12/2026,Wednesday,29,Phase 2 — Endurance (Oct–Dec),Upper,,,,
24/12/2026,Thursday,29,Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,11.6,5:45–6:15/km,Yes
25/12/2026,Friday,29,Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,11,4:40–4:50/km,
26/12/2026,Saturday,29,Phase 2 — Endurance (Oct–Dec),Pull,,,,
27/12/2026,Sunday,29,Phase 2 — Endurance (Oct–Dec),Push,Long Run,26,5:20–5:50/km,Yes
,,,,,,,,
28/12/2026,Monday,30,Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,6,6:00–6:30/km,Yes
29/12/2026,Tuesday,30,Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,8,4:30–4:40/km,
30/12/2026,Wednesday,30,Phase 2 — Endurance (Oct–Dec),Upper,,,,
31/12/2026,Thursday,30,Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,11.9,5:45–6:15/km,Yes
01/01/2027,Friday,30,Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,11,4:40–4:50/km,
02/01/2027,Saturday,30,Phase 2 — Endurance (Oct–Dec),Pull,,,,
03/01/2027,Sunday,30,Phase 2 — Endurance (Oct–Dec),Push,Long Run,26,5:20–5:50/km,Yes
,,,,,,,,
04/01/2027,Monday,31,Phase 3 — Marathon Specific (Jan–Apr),Legs,Recovery Run,6,6:00–6:30/km,Yes
05/01/2027,Tuesday,31,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Intervals,8,4:30–4:40/km,
06/01/2027,Wednesday,31,Phase 3 — Marathon Specific (Jan–Apr),Upper,,,,
07/01/2027,Thursday,31,Phase 3 — Marathon Specific (Jan–Apr),Lower,Easy Run,12,5:45–6:15/km,Yes
08/01/2027,Friday,31,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Tempo,12.2,4:40–4:50/km,
09/01/2027,Saturday,31,Phase 3 — Marathon Specific (Jan–Apr),Pull,,,,
10/01/2027,Sunday,31,Phase 3 — Marathon Specific (Jan–Apr),Push,Long Run,22,5:10–5:45/km,Yes
,,,,,,,,
11/01/2027,Monday,32,Phase 3 — Marathon Specific (Jan–Apr),Legs,Recovery Run,6,6:00–6:30/km,Yes
12/01/2027,Tuesday,32,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Intervals,8,4:30–4:40/km,
13/01/2027,Wednesday,32,Phase 3 — Marathon Specific (Jan–Apr),Upper,,,,
14/01/2027,Thursday,32,Phase 3 — Marathon Specific (Jan–Apr),Lower,Easy Run,12,5:45–6:15/km,Yes
15/01/2027,Friday,32,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Tempo,12.4,4:40–4:50/km,
16/01/2027,Saturday,32,Phase 3 — Marathon Specific (Jan–Apr),Pull,,,,
17/01/2027,Sunday,32,Phase 3 — Marathon Specific (Jan–Apr),Push,Long Run,24,5:10–5:45/km,Yes
,,,,,,,,
18/01/2027,Monday,33,Phase 3 — Marathon Specific (Jan–Apr),Legs,Recovery Run,6,6:00–6:30/km,Yes
19/01/2027,Tuesday,33,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Intervals,8,4:30–4:40/km,
20/01/2027,Wednesday,33,Phase 3 — Marathon Specific (Jan–Apr),Upper,,,,
21/01/2027,Thursday,33,Phase 3 — Marathon Specific (Jan–Apr),Lower,Easy Run,12,5:45–6:15/km,Yes
22/01/2027,Friday,33,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Tempo,12.6,4:40–4:50/km,
23/01/2027,Saturday,33,Phase 3 — Marathon Specific (Jan–Apr),Pull,,,,
24/01/2027,Sunday,33,Phase 3 — Marathon Specific (Jan–Apr),Push,Long Run,24,5:10–5:45/km,Yes
,,,,,,,,
25/01/2027,Monday,34,Phase 3 — Marathon Specific (Jan–Apr),Legs,Recovery Run,6,6:00–6:30/km,Yes
26/01/2027,Tuesday,34,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Intervals,8,4:30–4:40/km,
27/01/2027,Wednesday,34,Phase 3 — Marathon Specific (Jan–Apr),Upper,,,,
28/01/2027,Thursday,34,Phase 3 — Marathon Specific (Jan–Apr),Lower,Easy Run,12,5:45–6:15/km,Yes
29/01/2027,Friday,34,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Tempo,12.8,4:40–4:50/km,
30/01/2027,Saturday,34,Phase 3 — Marathon Specific (Jan–Apr),Pull,,,,
31/01/2027,Sunday,34,Phase 3 — Marathon Specific (Jan–Apr),Push,Long Run,26,5:10–5:45/km,Yes
,,,,,,,,
01/02/2027,Monday,35,Phase 3 — Marathon Specific (Jan–Apr),Legs,Recovery Run,6,6:00–6:30/km,Yes
02/02/2027,Tuesday,35,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Intervals,8,4:30–4:40/km,
03/02/2027,Wednesday,35,Phase 3 — Marathon Specific (Jan–Apr),Upper,,,,
04/02/2027,Thursday,35,Phase 3 — Marathon Specific (Jan–Apr),Lower,Easy Run,12,5:45–6:15/km,Yes
05/02/2027,Friday,35,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Tempo,13,4:40–4:50/km,
06/02/2027,Saturday,35,Phase 3 — Marathon Specific (Jan–Apr),Pull,,,,
07/02/2027,Sunday,35,Phase 3 — Marathon Specific (Jan–Apr),Push,Long Run,26,5:10–5:45/km,Yes
,,,,,,,,
08/02/2027,Monday,36,Phase 3 — Marathon Specific (Jan–Apr),Legs,Recovery Run,6,6:00–6:30/km,Yes
09/02/2027,Tuesday,36,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Intervals,8,4:30–4:40/km,
10/02/2027,Wednesday,36,Phase 3 — Marathon Specific (Jan–Apr),Upper,,,,
11/02/2027,Thursday,36,Phase 3 — Marathon Specific (Jan–Apr),Lower,Easy Run,12,5:45–6:15/km,Yes
